results_set,llm_name,method_name,run_folder,cases,mean_state_f1_exact,mean_transition_f1_exact,mean_overall_f1_exact,mean_state_f1_relaxed,mean_transition_f1_relaxed,mean_overall_f1_relaxed,syntax_valid_count,syntax_valid_pct,structural_valid_count,structural_valid_pct
plantuml_pipeline_run2,Qwen_2.5_7B,rag,open_source__qwen25_7b_instruct__rag,27,0.07095639775378337,0.0,0.03547819887689169,0.11267205521018157,0.03296703296703297,0.07281954408860727,27,100.0,0,0.0
plantuml_pipeline_run2,Mistral,rag,open_source__mistral__rag,27,0.08409841474046555,0.01058201058201058,0.04734021266123807,0.1257315146604698,0.03292181069958847,0.07932666268002914,27,100.0,1,3.7037037037037037
plantuml_pipeline_run3,Qwen_2.5_7B,rag,open_source__qwen25_7b_instruct__rag,27,0.09733201320516795,0.0,0.048666006602583974,0.15769747842959433,0.03866503866503866,0.09818125854731649,27,100.0,0,0.0
plantuml_pipeline_run3,Mistral,rag,open_source__mistral__rag,27,0.09964859343514314,0.013628346961680294,0.05663847019841172,0.13157770255723472,0.03973434879187633,0.08565602567455552,27,100.0,0,0.0
