llm,mean_state_f1,state_f1_run_sd,mean_case_state_f1_sd,mean_syntax_validity,syntax_validity_sd,mean_structural_validity,structural_validity_sd,syntax_consistent_cases_percent,structural_consistent_cases_percent
DeepSeek_R1_14B,0.420304,0.066058,0.141714,1.0,0.0,0.36214,0.275044,100.0,0.0
Llama_3.1_8B,0.528285,0.004876,0.091791,1.0,0.0,0.263374,0.202985,100.0,25.925926
Mistral,0.390029,0.041033,0.158223,1.0,0.0,0.119342,0.17561,100.0,55.555556
Qwen_2.5_7B,0.507108,0.072964,0.111387,1.0,0.0,0.131687,0.228089,100.0,37.037037
