results_set,llm_name,method_name,run_folder,cases,mean_state_f1_exact,mean_transition_f1_exact,mean_overall_f1_exact,mean_state_f1_relaxed,mean_transition_f1_relaxed,mean_overall_f1_relaxed,syntax_valid_count,syntax_valid_pct,structural_valid_count,structural_valid_pct
plantuml_pipeline,Qwen_2.5_7B,rag,open_source__qwen25_7b_instruct__rag,27,0.1384089204395718,0.02053872053872054,0.07947382048914617,0.21063161916953327,0.0767610748002905,0.14369634698491188,27,100.0,6,22.22222222222222
plantuml_pipeline,Mistral,rag,open_source__mistral__rag,27,0.10849616355337179,0.02356902356902357,0.06603259356119767,0.17612960525981095,0.0654320987654321,0.12078085201262152,20,74.07407407407408,4,14.814814814814815
plantuml_pipeline,DeepSeek_R1_14B,few_shot,open_source__deepseek_r1_14b__few_shot,27,0.08428658607013702,0.0,0.04214329303506851,0.11889284826260609,0.014141414141414142,0.06651713120201011,24,88.88888888888889,6,22.22222222222222
plantuml_pipeline,Llama_3.1_8B,few_shot,open_source__llama31_8b_instruct__few_shot,27,0.052766333684208085,0.0,0.026383166842104042,0.1094334246006067,0.012985361955613672,0.06120939327811019,25,92.5925925925926,8,29.62962962962963
plantuml_pipeline_run2,Qwen_2.5_7B,rag,open_source__qwen25_7b_instruct__rag,27,0.10216013860203244,0.0,0.05108006930101622,0.16233888268799795,0.03857549857549857,0.10045719063174825,21,77.77777777777777,0,0.0
plantuml_pipeline_run2,Mistral,rag,open_source__mistral__rag,27,0.08564864839374643,0.006172839506172839,0.04591074394995963,0.12716424064463278,0.03013849134067713,0.07865136599265497,20,74.07407407407408,1,3.7037037037037037
plantuml_pipeline_run2,DeepSeek_R1_14B,few_shot,open_source__deepseek_r1_14b__few_shot,27,0.049847160958272074,0.0,0.024923580479136037,0.09161751320304397,0.009577254021698466,0.05059738361237121,18,66.66666666666667,5,18.51851851851852
plantuml_pipeline_run2,Llama_3.1_8B,few_shot,open_source__llama31_8b_instruct__few_shot,27,0.06330481801352374,0.0,0.03165240900676187,0.13330374953181973,0.017243964612385664,0.0752738570721027,25,92.5925925925926,4,14.814814814814815
plantuml_pipeline_run3,Qwen_2.5_7B,rag,open_source__qwen25_7b_instruct__rag,27,0.10138882343560705,0.0,0.05069441171780353,0.15698172402850763,0.03904864824405054,0.0980151861362791,23,85.18518518518519,1,3.7037037037037037
plantuml_pipeline_run3,Mistral,rag,open_source__mistral__rag,27,0.09304822151598646,0.00966183574879227,0.051355028632389374,0.12891621499185776,0.03439153439153439,0.08165387469169608,20,74.07407407407408,0,0.0
plantuml_pipeline_run3,DeepSeek_R1_14B,few_shot,open_source__deepseek_r1_14b__few_shot,27,0.062782073893185,0.0,0.0313910369465925,0.08817475391549465,0.0,0.04408737695774732,24,88.88888888888889,5,18.51851851851852
plantuml_pipeline_run3,Llama_3.1_8B,few_shot,open_source__llama31_8b_instruct__few_shot,27,0.060600121384435116,0.0,0.030300060692217558,0.10863587179376653,0.01641019458581266,0.06252303318978959,23,85.18518518518519,3,11.11111111111111
