llm,mean_state_f1,state_f1_run_sd,mean_case_state_f1_sd,mean_syntax_validity,syntax_validity_sd,mean_structural_validity,structural_validity_sd,syntax_consistent_cases_percent,structural_consistent_cases_percent
DeepSeek_R1_14B,0.099562,0.01683,0.082585,0.814815,0.1283,0.197531,0.021383,55.555556,59.259259
Llama_3.1_8B,0.117124,0.014017,0.076376,0.901235,0.042767,0.185185,0.097991,74.074074,51.851852
Mistral,0.14407,0.027778,0.079182,0.740741,0.0,0.061728,0.077099,59.259259,85.185185
Qwen_2.5_7B,0.176651,0.02955,0.076152,0.876543,0.11315,0.08642,0.119057,66.666667,74.074074
